GEOID10,archetype_key,population
17031840300,nh_white__lower_middle__single_no_children__mixed,280
17031840300,nh_white__lower_middle__family_with_children__mixed,187
17031840300,nh_white__lower_middle__elderly__mixed,156
17031840300,nh_black__lower_middle__single_no_children__mixed,34
17031840300,nh_black__lower_middle__family_with_children__mixed,30
17031840300,nh_black__lower_middle__elderly__mixed,22
17031840300,nh_asian__lower_middle__single_no_children__mixed,243
17031840300,nh_asian__lower_middle__family_with_children__mixed,312
17031840300,nh_asian__lower_middle__elderly__mixed,139
17031840300,hispanic__lower_middle__single_no_children__mixed,748
17031840300,hispanic__lower_middle__family_with_children__mixed,1248
17031840300,hispanic__lower_middle__elderly__mixed,499
17031840300,nh_other__lower_middle__single_no_children__mixed,23
17031840300,nh_other__lower_middle__family_with_children__mixed,18
17031840300,nh_other__lower_middle__elderly__mixed,10
17031840200,nh_white__lower_middle__single_no_children__asian_enclave,190
17031840200,nh_white__lower_middle__family_with_children__asian_enclave,127
17031840200,nh_white__lower_middle__elderly__asian_enclave,106
17031840200,nh_black__lower_middle__single_no_children__asian_enclave,20
17031840200,nh_black__lower_middle__family_with_children__asian_enclave,18
17031840200,nh_black__lower_middle__elderly__asian_enclave,13
17031840200,nh_asian__lower_middle__single_no_children__asian_enclave,476
17031840200,nh_asian__lower_middle__family_with_children__asian_enclave,612
17031840200,nh_asian__lower_middle__elderly__asian_enclave,272
17031840200,hispanic__lower_middle__single_no_children__asian_enclave,147
17031840200,hispanic__lower_middle__family_with_children__asian_enclave,246
17031840200,hispanic__lower_middle__elderly__asian_enclave,98
17031840200,nh_other__lower_middle__single_no_children__asian_enclave,6
17031840200,nh_other__lower_middle__family_with_children__asian_enclave,5
17031840200,nh_other__lower_middle__elderly__asian_enclave,3
17031841100,nh_white__lower_middle__single_no_children__asian_enclave,150
17031841100,nh_white__lower_middle__family_with_children__asian_enclave,100
17031841100,nh_white__lower_middle__elderly__asian_enclave,84
17031841100,nh_black__lower_middle__single_no_children__asian_enclave,103
17031841100,nh_black__lower_middle__family_with_children__asian_enclave,90
17031841100,nh_black__lower_middle__elderly__asian_enclave,64
17031841100,nh_asian__lower_middle__single_no_children__asian_enclave,2253
17031841100,nh_asian__lower_middle__family_with_children__asian_enclave,2897
17031841100,nh_asian__lower_middle__elderly__asian_enclave,1288
17031841100,hispanic__lower_middle__single_no_children__asian_enclave,41
17031841100,hispanic__lower_middle__family_with_children__asian_enclave,69
17031841100,hispanic__lower_middle__elderly__asian_enclave,28
17031841100,nh_other__lower_middle__single_no_children__asian_enclave,39
17031841100,nh_other__lower_middle__family_with_children__asian_enclave,30
17031841100,nh_other__lower_middle__elderly__asian_enclave,17
17031841200,nh_white__lower_middle__single_no_children__hispanic_dominant,222
17031841200,nh_white__lower_middle__family_with_children__hispanic_dominant,148
17031841200,nh_white__lower_middle__elderly__hispanic_dominant,124
17031841200,nh_black__lower_middle__single_no_children__hispanic_dominant,84
17031841200,nh_black__lower_middle__family_with_children__hispanic_dominant,74
17031841200,nh_black__lower_middle__elderly__hispanic_dominant,52
17031841200,nh_asian__lower_middle__single_no_children__hispanic_dominant,6
17031841200,nh_asian__lower_middle__family_with_children__hispanic_dominant,8
17031841200,nh_asian__lower_middle__elderly__hispanic_dominant,3
17031841200,hispanic__lower_middle__single_no_children__hispanic_dominant,1350
17031841200,hispanic__lower_middle__family_with_children__hispanic_dominant,2250
17031841200,hispanic__lower_middle__elderly__hispanic_dominant,900
17031841200,nh_other__lower_middle__single_no_children__hispanic_dominant,18
17031841200,nh_other__lower_middle__family_with_children__hispanic_dominant,14
17031841200,nh_other__lower_middle__elderly__hispanic_dominant,8
17031838200,nh_white__high__single_no_children__mixed,290
17031838200,nh_white__high__family_with_children__mixed,145
17031838200,nh_white__high__elderly__mixed,145
17031838200,nh_black__high__single_no_children__mixed,95
17031838200,nh_black__high__family_with_children__mixed,64
17031838200,nh_black__high__elderly__mixed,53
17031838200,nh_asian__high__single_no_children__mixed,160
17031838200,nh_asian__high__family_with_children__mixed,160
17031838200,nh_asian__high__elderly__mixed,80
17031838200,hispanic__high__single_no_children__mixed,111
17031838200,hispanic__high__family_with_children__mixed,142
17031838200,hispanic__high__elderly__mixed,63
17031838200,nh_other__high__single_no_children__mixed,34
17031838200,nh_other__high__family_with_children__mixed,21
17031838200,nh_other__high__elderly__mixed,14
17031650301,nh_white__lower_middle__single_no_children__hispanic_dominant,495
17031650301,nh_white__lower_middle__family_with_children__hispanic_dominant,330
17031650301,nh_white__lower_middle__elderly__hispanic_dominant,275
17031650301,nh_black__lower_middle__single_no_children__hispanic_dominant,22
17031650301,nh_black__lower_middle__family_with_children__hispanic_dominant,19
17031650301,nh_black__lower_middle__elderly__hispanic_dominant,14
17031650301,nh_asian__lower_middle__single_no_children__hispanic_dominant,9
17031650301,nh_asian__lower_middle__family_with_children__hispanic_dominant,12
17031650301,nh_asian__lower_middle__elderly__hispanic_dominant,5
17031650301,hispanic__lower_middle__single_no_children__hispanic_dominant,1351
17031650301,hispanic__lower_middle__family_with_children__hispanic_dominant,2252
17031650301,hispanic__lower_middle__elderly__hispanic_dominant,901
17031650301,nh_other__lower_middle__single_no_children__hispanic_dominant,12
17031650301,nh_other__lower_middle__family_with_children__hispanic_dominant,9
17031650301,nh_other__lower_middle__elderly__hispanic_dominant,5
17031530503,nh_white__lower_middle__single_no_children__black_dominant,10
17031530503,nh_white__lower_middle__family_with_children__black_dominant,7
17031530503,nh_white__lower_middle__elderly__black_dominant,6
17031530503,nh_black__lower_middle__single_no_children__black_dominant,2082
17031530503,nh_black__lower_middle__family_with_children__black_dominant,1822
17031530503,nh_black__lower_middle__elderly__black_dominant,1301
17031530503,nh_asian__lower_middle__single_no_children__black_dominant,1
17031530503,nh_asian__lower_middle__family_with_children__black_dominant,1
17031530503,nh_asian__lower_middle__elderly__black_dominant,1
17031530503,hispanic__lower_middle__single_no_children__black_dominant,17
17031530503,hispanic__lower_middle__family_with_children__black_dominant,28
17031530503,hispanic__lower_middle__elderly__black_dominant,11
17031530503,nh_other__lower_middle__single_no_children__black_dominant,26
17031530503,nh_other__lower_middle__family_with_children__black_dominant,20
17031530503,nh_other__lower_middle__elderly__black_dominant,12
17031530501,nh_white__lower_middle__single_no_children__black_dominant,12
17031530501,nh_white__lower_middle__family_with_children__black_dominant,8
17031530501,nh_white__lower_middle__elderly__black_dominant,6
17031530501,nh_black__lower_middle__single_no_children__black_dominant,2092
17031530501,nh_black__lower_middle__family_with_children__black_dominant,1830
17031530501,nh_black__lower_middle__elderly__black_dominant,1307
17031530501,nh_asian__lower_middle__single_no_children__black_dominant,1
17031530501,nh_asian__lower_middle__family_with_children__black_dominant,1
17031530501,nh_asian__lower_middle__elderly__black_dominant,1
17031530501,hispanic__lower_middle__single_no_children__black_dominant,21
17031530501,hispanic__lower_middle__family_with_children__black_dominant,35
17031530501,hispanic__lower_middle__elderly__black_dominant,14
17031530501,nh_other__lower_middle__single_no_children__black_dominant,33
17031530501,nh_other__lower_middle__family_with_children__black_dominant,26
17031530501,nh_other__lower_middle__elderly__black_dominant,15
17031760803,nh_white__upper_middle__single_no_children__white_dominant,2205
17031760803,nh_white__upper_middle__family_with_children__white_dominant,1470
17031760803,nh_white__upper_middle__elderly__white_dominant,1225
17031760803,nh_black__upper_middle__single_no_children__white_dominant,64
17031760803,nh_black__upper_middle__family_with_children__white_dominant,56
17031760803,nh_black__upper_middle__elderly__white_dominant,40
17031760803,nh_asian__upper_middle__single_no_children__white_dominant,134
17031760803,nh_asian__upper_middle__family_with_children__white_dominant,172
17031760803,nh_asian__upper_middle__elderly__white_dominant,76
17031760803,hispanic__upper_middle__single_no_children__white_dominant,204
17031760803,hispanic__upper_middle__family_with_children__white_dominant,340
17031760803,hispanic__upper_middle__elderly__white_dominant,136
17031760803,nh_other__upper_middle__single_no_children__white_dominant,52
17031760803,nh_other__upper_middle__family_with_children__white_dominant,40
