archetype_key,race,income_bracket,family_type,neighborhood_type,population,population_share,mobility_rate,context_satisfaction_bonus,ideal_own_group_pct,min_own_group_pct,search_n_mean,search_radius_hops,search_bias_own,search_bias_mixed,social_anchor_weight,w_racial_composition,w_school_quality,w_safety_crime,w_housing_cost_match,w_commute_transit,w_amenities,w_social_network_proximity
nh_black__lower_middle__single_no_children__black_dominant,nh_black,lower_middle,single_no_children,black_dominant,145839,0.05493,0.182,0.15,0.5,0.2,4,3,0.5,0.35,0.4,0.2008,0.0452,0.1506,0.2169,0.1406,0.0753,0.1707
hispanic__low__family_with_children__hispanic_dominant,hispanic,low,family_with_children,hispanic_dominant,143220,0.053943,0.126,0.15,0.25,0.08,3,3,0.3,0.45,0.5,0.0679,0.1609,0.1565,0.2395,0.0958,0.0399,0.2395
nh_black__lower_middle__family_with_children__black_dominant,nh_black,lower_middle,family_with_children,black_dominant,127609,0.048064,0.098,0.15,0.5,0.2,4,3,0.5,0.35,0.4,0.16,0.216,0.168,0.1728,0.08,0.04,0.1632
nh_white__high__single_no_children__white_dominant,nh_white,high,single_no_children,white_dominant,125537,0.047283,0.1248,0.15,0.6,0.4,5,4,0.55,0.35,0.2,0.3801,0.0824,0.1901,0.076,0.1183,0.0792,0.0739
nh_white__upper_middle__single_no_children__mixed,nh_white,upper_middle,single_no_children,mixed,93475,0.035207,0.1404,-0.2,0.6,0.4,5,4,0.55,0.35,0.2,0.3485,0.076,0.1901,0.114,0.1183,0.0792,0.0739
nh_black__lower_middle__elderly__black_dominant,nh_black,lower_middle,elderly,black_dominant,91150,0.034331,0.07,0.15,0.5,0.2,4,3,0.5,0.35,0.4,0.1885,0.0283,0.1838,0.2036,0.0943,0.0613,0.2403
nh_black__low__family_with_children__black_dominant,nh_black,low,family_with_children,black_dominant,77146,0.029057,0.1176,0.15,0.5,0.2,4,3,0.5,0.35,0.4,0.1393,0.177,0.1721,0.2213,0.082,0.041,0.1672
nh_white__high__single_no_children__mixed,nh_white,high,single_no_children,mixed,75752,0.028532,0.1248,-0.2,0.6,0.4,5,4,0.55,0.35,0.2,0.3801,0.0824,0.1901,0.076,0.1183,0.0792,0.0739
hispanic__upper_middle__family_with_children__mixed,hispanic,upper_middle,family_with_children,mixed,74973,0.028238,0.0945,-0.2,0.25,0.08,3,3,0.3,0.45,0.5,0.0874,0.2403,0.1558,0.143,0.0954,0.0397,0.2384
nh_black__low__single_no_children__black_dominant,nh_black,low,single_no_children,black_dominant,71360,0.026878,0.2184,0.15,0.5,0.2,4,3,0.5,0.35,0.4,0.1682,0.0356,0.1484,0.2671,0.1385,0.0742,0.1682
hispanic__low__single_no_children__hispanic_dominant,hispanic,low,single_no_children,hispanic_dominant,70311,0.026482,0.234,0.15,0.25,0.08,3,3,0.3,0.45,0.5,0.0808,0.032,0.1331,0.2853,0.1598,0.0713,0.2377
nh_white__high__family_with_children__white_dominant,nh_white,high,family_with_children,white_dominant,62764,0.02364,0.0672,0.15,0.6,0.4,5,4,0.55,0.35,0.2,0.2635,0.3426,0.1845,0.0527,0.0586,0.0366,0.0615
nh_white__high__elderly__white_dominant,nh_white,high,elderly,white_dominant,62764,0.02364,0.048,0.15,0.6,0.4,5,4,0.55,0.35,0.2,0.3719,0.0537,0.2417,0.0744,0.0826,0.0671,0.1085
nh_white__upper_middle__family_with_children__mixed,nh_white,upper_middle,family_with_children,mixed,62317,0.023472,0.0756,-0.2,0.6,0.4,5,4,0.55,0.35,0.2,0.247,0.3234,0.1886,0.0808,0.0599,0.0374,0.0629
nh_white__upper_middle__elderly__mixed,nh_white,upper_middle,elderly,mixed,51936,0.019562,0.054,-0.2,0.6,0.4,5,4,0.55,0.35,0.2,0.3402,0.0495,0.2412,0.1113,0.0825,0.067,0.1082
hispanic__lower_middle__family_with_children__hispanic_dominant,hispanic,lower_middle,family_with_children,hispanic_dominant,50557,0.019042,0.105,0.15,0.25,0.08,3,3,0.3,0.45,0.5,0.0795,0.2003,0.1558,0.1908,0.0954,0.0397,0.2385
nh_white__upper_middle__single_no_children__white_dominant,nh_white,upper_middle,single_no_children,white_dominant,47458,0.017875,0.1404,0.15,0.6,0.4,5,4,0.55,0.35,0.2,0.3485,0.076,0.1901,0.114,0.1183,0.0792,0.0739
hispanic__low__elderly__hispanic_dominant,hispanic,low,elderly,hispanic_dominant,46872,0.017654,0.09,0.15,0.25,0.08,3,3,0.3,0.45,0.5,0.074,0.0195,0.1583,0.261,0.1044,0.0566,0.3263
hispanic__upper_middle__single_no_children__mixed,hispanic,upper_middle,single_no_children,mixed,44988,0.016945,0.1755,-0.2,0.25,0.08,3,3,0.3,0.45,0.5,0.113,0.0518,0.1438,0.1849,0.1726,0.077,0.2568
nh_black__low__elderly__black_dominant,nh_black,low,elderly,black_dominant,44361,0.016708,0.084,0.15,0.5,0.2,4,3,0.5,0.35,0.4,0.1576,0.0222,0.1807,0.2502,0.0927,0.0602,0.2363
hispanic__lower_middle__family_with_children__mixed,hispanic,lower_middle,family_with_children,mixed,42129,0.015868,0.105,-0.2,0.25,0.08,3,3,0.3,0.45,0.5,0.0795,0.2003,0.1558,0.1908,0.0954,0.0397,0.2385
nh_white__high__elderly__mixed,nh_white,high,elderly,mixed,37878,0.014267,0.048,-0.2,0.6,0.4,5,4,0.55,0.35,0.2,0.3719,0.0537,0.2417,0.0744,0.0826,0.0671,0.1085
nh_white__high__family_with_children__mixed,nh_white,high,family_with_children,mixed,37878,0.014267,0.0672,-0.2,0.6,0.4,5,4,0.55,0.35,0.2,0.2635,0.3426,0.1845,0.0527,0.0586,0.0366,0.0615
